demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,81,131,0.0831,0.7462
B_M,73,123,0.0751,0.6745
H_W,102,136,0.1037,0.931
W_M,108,129,0.1113,1.0
A_M,80,113,0.0819,0.7354
H_M,100,111,0.102,0.9165
B_W,100,141,0.1027,0.9221
A_W,81,116,0.0822,0.7378
