demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,150,148,0.1273,0.9894
H_W,152,149,0.1287,1.0
B_M,146,149,0.1241,0.9646
W_M,145,147,0.1228,0.9539
A_M,150,150,0.127,0.9868
H_M,145,147,0.1225,0.9515
B_W,148,148,0.1267,0.9845
A_W,151,149,0.1282,0.996
