demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,27,264,0.0135,0.9643
B_M,13,248,0.0065,0.4643
H_W,21,272,0.0105,0.75
W_M,17,256,0.0085,0.6071
A_M,13,230,0.0065,0.4643
H_M,8,222,0.004,0.2857
B_W,28,280,0.014,1.0
A_W,11,228,0.0055,0.3929
