demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,22,262,0.011,0.8462
B_M,17,249,0.0085,0.6538
H_W,14,272,0.007,0.5385
W_M,18,262,0.009,0.6923
A_M,13,230,0.0065,0.5
H_M,13,225,0.0065,0.5
B_W,26,276,0.013,1.0
A_W,13,224,0.0065,0.5
