demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,161,148,0.1364,1.0
B_M,138,149,0.1169,0.8571
H_W,147,149,0.1246,0.913
W_M,140,146,0.1186,0.8696
A_M,150,143,0.1271,0.9317
H_M,160,149,0.1356,0.9938
B_W,132,147,0.1119,0.8199
A_W,152,149,0.1288,0.9441
