demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,156,150,0.1339,0.8615
B_M,137,149,0.1179,0.7585
H_W,158,153,0.1346,0.8658
W_M,180,149,0.1554,1.0
A_M,115,149,0.0986,0.6345
H_M,165,144,0.1415,0.9104
B_W,161,151,0.138,0.8875
A_W,122,149,0.1037,0.6674
