demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,149,150,0.1547,1.0
B_M,113,113,0.1173,0.7584
H_W,134,133,0.1391,0.8993
W_M,121,122,0.1256,0.8121
A_M,110,109,0.1142,0.7383
H_M,111,104,0.1153,0.745
B_W,119,126,0.1236,0.7987
A_W,106,106,0.1101,0.7114
