demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,159,147,0.1349,1.0
B_M,142,149,0.1204,0.8931
H_W,150,150,0.1272,0.9434
W_M,145,148,0.123,0.9119
A_M,143,146,0.1213,0.8994
H_M,149,146,0.1264,0.9371
B_W,146,146,0.1238,0.9182
A_W,145,147,0.123,0.9119
