demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,149,148,0.1278,0.9039
H_W,153,151,0.1296,0.9163
B_M,145,147,0.1247,0.8819
W_M,164,152,0.1414,1.0
A_M,151,151,0.1291,0.9129
H_M,145,148,0.1235,0.8736
B_W,145,151,0.1243,0.8788
A_W,145,149,0.1229,0.8692
