demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,184,148,0.1585,0.9977
B_M,126,147,0.1088,0.685
H_W,141,149,0.1207,0.7599
W_M,183,149,0.1589,1.0
A_M,142,149,0.1224,0.7706
H_M,145,147,0.1241,0.7815
B_W,128,151,0.1106,0.6964
A_W,139,148,0.119,0.7492
