demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,125,127,0.1264,0.9253
B_M,116,123,0.1173,0.8587
H_W,132,135,0.1328,0.9722
W_M,124,131,0.1247,0.9133
A_M,116,118,0.1167,0.8543
H_M,109,115,0.1093,0.8004
B_W,134,137,0.1366,1.0
A_W,113,114,0.114,0.8348
