demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,126,127,0.1274,0.9327
B_M,115,123,0.1163,0.8513
H_W,132,135,0.1328,0.9722
W_M,128,131,0.1288,0.9427
A_M,117,118,0.1177,0.8617
H_M,113,115,0.1133,0.8298
B_W,134,137,0.1366,1.0
A_W,117,114,0.1181,0.8643
