demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,156,149,0.1315,1.0
B_M,152,146,0.1282,0.9744
H_W,151,149,0.1273,0.9679
W_M,151,148,0.1273,0.9679
A_M,144,148,0.1214,0.9231
H_M,141,148,0.1189,0.9038
B_W,151,150,0.1273,0.9679
A_W,140,148,0.118,0.8974
