demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,155,150,0.13,1.0
H_W,146,149,0.1225,0.9419
B_M,153,148,0.1284,0.9871
W_M,152,149,0.1275,0.9806
A_M,148,150,0.1242,0.9548
H_M,150,150,0.1258,0.9677
B_W,151,148,0.1267,0.9742
A_W,137,148,0.1149,0.8839
