demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,152,149,0.1291,1.0
H_W,148,148,0.1252,0.9696
B_M,145,148,0.1232,0.9539
W_M,152,149,0.1286,0.9958
A_M,143,148,0.121,0.9368
H_M,150,149,0.1266,0.9802
B_W,148,148,0.1266,0.9803
A_W,150,149,0.1272,0.9852
