demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,108,131,0.1108,0.9334
B_M,102,123,0.1049,0.8842
H_W,112,137,0.1138,0.9591
W_M,115,129,0.1187,1.0
A_M,95,113,0.0972,0.8193
H_M,92,110,0.0939,0.791
B_W,103,141,0.1057,0.8911
A_W,105,116,0.1065,0.8973
