demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,39,528,0.0097,0.7959
B_M,28,496,0.007,0.5714
H_W,33,544,0.0083,0.6735
W_M,33,512,0.0083,0.6735
A_M,25,460,0.0063,0.5102
H_M,10,444,0.0025,0.2041
B_W,49,560,0.0123,1.0
A_W,30,456,0.0075,0.6122
