demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,130,128,0.1314,0.9344
B_M,122,123,0.1234,0.8769
H_W,133,135,0.1338,0.9512
W_M,125,132,0.1258,0.894
A_M,112,116,0.1127,0.801
H_M,115,115,0.1153,0.82
B_W,138,139,0.1407,1.0
A_W,112,112,0.113,0.8034
