demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,150,147,0.1279,0.9648
B_M,140,144,0.1195,0.9013
H_W,156,149,0.1325,1.0
W_M,147,150,0.1249,0.9423
A_M,147,149,0.1249,0.9423
H_M,142,147,0.1203,0.9079
B_W,151,149,0.1297,0.9788
A_W,150,148,0.1277,0.9632
