demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,150,128,0.1517,1.0
B_M,103,123,0.1041,0.6867
H_W,140,134,0.1408,0.9286
W_M,126,131,0.1268,0.8358
A_M,104,118,0.1046,0.6898
H_M,121,115,0.1214,0.8002
B_W,123,137,0.1254,0.8267
A_W,117,114,0.1181,0.7784
