demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,156,141,0.1447,0.9811
B_M,121,116,0.1122,0.761
H_W,149,148,0.1382,0.9371
W_M,126,128,0.1169,0.7925
A_M,120,133,0.1113,0.7547
H_M,126,133,0.1169,0.7925
B_W,159,149,0.1475,1.0
A_W,121,130,0.1122,0.761
