demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,34,396,0.0113,0.85
B_M,22,372,0.0073,0.55
H_W,29,408,0.0097,0.725
W_M,26,384,0.0087,0.65
A_M,18,345,0.006,0.45
H_M,9,333,0.003,0.225
B_W,40,420,0.0133,1.0
A_W,20,342,0.0067,0.5
