demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,27,393,0.009,0.75
B_M,24,373,0.008,0.6667
H_W,18,409,0.006,0.5
W_M,25,390,0.0083,0.6944
A_M,15,345,0.005,0.4167
H_M,14,336,0.0047,0.3889
B_W,36,416,0.012,1.0
A_W,16,338,0.0053,0.4444
