demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,33,525,0.0083,0.7174
B_M,33,497,0.0083,0.7174
H_W,25,545,0.0063,0.5435
W_M,36,518,0.009,0.7826
A_M,22,460,0.0055,0.4783
H_M,23,447,0.0057,0.5
B_W,46,556,0.0115,1.0
A_W,26,452,0.0065,0.5652
