demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,9,132,0.009,1.0
B_M,5,124,0.005,0.5556
H_W,9,136,0.009,1.0
W_M,7,128,0.007,0.7778
A_M,5,115,0.005,0.5556
H_M,2,111,0.002,0.2222
B_W,8,140,0.008,0.8889
A_W,4,114,0.004,0.4444
