demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,173,150,0.1466,1.0
H_W,161,149,0.136,0.9275
B_M,137,149,0.1162,0.7926
W_M,146,148,0.1233,0.8411
A_M,136,150,0.1149,0.7835
H_M,149,148,0.1255,0.8562
B_W,139,147,0.1187,0.8096
A_W,149,149,0.1261,0.8598
