demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,160,151,0.1372,1.0
H_W,153,151,0.1308,0.953
B_M,142,146,0.1224,0.8921
W_M,158,148,0.1362,0.9926
A_M,144,147,0.1238,0.9023
H_M,151,148,0.1297,0.9454
B_W,139,151,0.1196,0.8717
A_W,146,151,0.1239,0.9032
