demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,149,148,0.1263,0.9803
H_W,152,149,0.1288,1.0
B_M,138,144,0.1169,0.9079
W_M,150,147,0.1271,0.9868
A_M,150,149,0.1271,0.9868
H_M,148,147,0.1254,0.9737
B_W,142,148,0.1203,0.9342
A_W,151,148,0.128,0.9934
