demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,150,136,0.1395,0.9202
H_W,163,149,0.1516,1.0
B_M,132,115,0.1228,0.8098
W_M,120,131,0.1116,0.7362
A_M,104,128,0.0967,0.638
H_M,121,131,0.1126,0.7423
B_W,162,148,0.1507,0.9939
A_W,123,137,0.1144,0.7546
