demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,84,132,0.0862,0.9106
B_M,62,121,0.0637,0.6735
H_W,93,134,0.0946,1.0
W_M,91,129,0.0939,0.9926
A_M,89,115,0.0911,0.9629
H_M,78,112,0.0798,0.843
B_W,67,140,0.0688,0.7271
A_W,87,117,0.0884,0.9345
