demograph,top,top_og,selection_rate,disparate_impact_ratio
W_W,88,131,0.0903,0.9611
B_M,61,125,0.0628,0.6683
H_W,77,137,0.0783,0.8333
W_M,91,129,0.0939,1.0
A_M,70,114,0.0716,0.7629
H_M,72,110,0.0734,0.7815
B_W,61,140,0.0626,0.6662
A_W,79,114,0.0801,0.8532
